,Container Type,Property,Data Type,Property Definition,Attribute,Abstract,Inline,Reference,Substitution Group Head,Augmentation of Type,Keywords,Example Content,Usage Info,Source,Comments,Facets List
85,em:AlertAffectedLocationAugmentationType,em:Ceiling,nc:LengthMeasureType,"The maximum altitude of the affected area of the alert message (conditional).
",FALSE,FALSE,TRUE,FALSE,,,,,(1) MUST NOT be used except in combination with the <altitude> element                                                                          (2) The ceiling measure is in feet above mean sea level per the [WGS- 84] datum.,,,
86,,em:AlertEventDetails,em:AlertEventDetailsType,The container for all component parts of the info sub-element of the alert message. Multiple occurrences are permitted within a single <alert>,FALSE,FALSE,TRUE,FALSE,,,,,"(1) Multiple occurrences are permitted within a single <alert>. If targeting of multiple ""info"" blocks in the same language overlaps, information in later blocks may expand but may not override the corresponding values in earlier ones. Each set of ""info"" blocks containing the same language identifier SHALL be treated as a separate sequence.
(2) In addition to the specified subelements, MAY contain one or more <resource> blocks and/or one or more <area> blocks.",,,
87,em:AlertEventDetailsType,em:AlertEventDetailsAudienceDescriptionText,nc:TextType,The text describing the intended audience of the alert message.,FALSE,FALSE,TRUE,FALSE,,,,,,,,
88,em:AlertEventDetailsType,em:AlertEventDetailsCategoryCode,em:AlertEventDetailsCategoryCodeType ,The code denoting the category of the subject event of the alert message. ,FALSE,FALSE,TRUE,FALSE,em:AlertEventDetailsCategory,,,,(1) Multiple instances MAY occur within a single <info> block.,,,
89,em:AlertEventDetailsType,em:AlertEventDetailsCertaintyCode,em:AlertEventDetailsCertaintyCodeType ,The code denoting the certainty of the subject event of the alert message.,FALSE,FALSE,TRUE,FALSE,em:AlertEventDetailsCertainty,,,,"(1) For backward compatibility with CAP 1.0, the deprecated value of “Very Likely” SHOULD be treated as equivalent to “Likely.” ",,,
90,em:AlertEventDetailsType,em:AlertEventDetailsDescriptionText,nc:TextType,The human-readable text describing the incident/event/situation associated with the Alert message.,FALSE,FALSE,TRUE,FALSE,,,,,(1) MUST be a properly formed -escaped if necessary- XML string.,,,
91,em:AlertEventDetailsType,em:AlertEventDetailsHeadlineText,nc:TextType,"The text headline of the alert message. A brief human-readable headline. Note that some displays (for example, short messaging service devices) may only present this headline; it SHOULD be made as direct and actionable as possible while remaining short. 160 characters MAY be a useful target limit for headline length.",FALSE,FALSE,TRUE,FALSE,,,,,"Note that some displays (for example, short messaging service devices) may only present this headline; it SHOULD be made as direct and actionable as possible while remaining short. 160 characters MAY be a useful target limit for headline length.",,,
92,em:AlertEventDetailsType,em:AlertEventDetailsInstructionsDescriptionText,nc:TextType,"The text describing the recommended action to be taken by recipients of the alert message. An extended human readable instruction to targeted recipients. (If different instructions are intended for different recipients, they should be represented by use of multiple <info> blocks. See CAP specification for details.)",FALSE,FALSE,TRUE,FALSE,,,,,"(1) An extended human readable instruction to targeted recipients. (If different instructions are intended for different recipients, they should be represented by use of multiple <info> blocks.)",,,
93,em:AlertEventDetailsType,em:AlertEventDetailsOnsetDateTime,niem-xsd:dateTime,"The expected time of the beginning of the subject event of the alert message.
",FALSE,FALSE,TRUE,FALSE,,,,example: “2002-05-24T16:49:00-07:00” for 24 May 2002 at 16: 49 PDT,"(1) The date and time is represented in [dateTime] format (e. g., “2002-05-24T16:49:00-07:00” for 24 May 2002 at 16: 49 PDT).",,,
94,em:AlertEventDetailsType,em:AlertEventDetailsResponseRecommendationCode,em:AlertEventDetailsResponseRecommendationCodeType ,The code denoting the type of action recommended for the target audience.,FALSE,FALSE,TRUE,FALSE,em:AlertEventDetailsResponseRecommendation,,,,(1) Multiple instances MAY occur within a single <info> block.,,,
95,em:AlertEventDetailsType,em:AlertEventDetailsSystemRecordID,niem-xsd:string,"A system specific code identifying the event type of the alert message.
",FALSE,FALSE,TRUE,FALSE,,,,"e.g., SAME, FIPS, ZIP","(1) Any system-specific code for event typing, in the form:
<eventCode>
<valueName>valueName</valueName>
<value>value</value>
</eventCode>
where the content of “valueName” is a userassigned string designating the domain of the code, and the content of “value” is a string (which may represent a number) denoting the value itself (e.g., valueName=""SAME"" and value=""CEM"").
(2) Values of “valueName” that are acronyms SHOULD be represented in all capital letters without periods (e.g., SAME, FIPS, ZIP).
(3) Multiple instances MAY occur within a single <info> block.",,,
96,em:AlertEventDetailsType,em:AlertEventDetailsUrgencyCode,em:AlertEventDetailsUrgencyCodeType            ,"The code denoting the urgency of the subject event of the alert message.
",FALSE,FALSE,TRUE,FALSE,em:AlertEventDetailsUrgency,,,,,,,
97,em:AlertEventDetailsType,em:AlertEventDetailsSeverityCode,em:AlertEventDetailsSeverityCodeType  ,The code denoting the severity of the subject event of the alert message. ,FALSE,FALSE,TRUE,FALSE,,,,"Extreme, Severe, Moderate, Minor, Unknown","(1)  The “urgency”, “severity”, and “certainty” elements collectively distinguish less emphatic from more emphatic messages.",,,YES
98,em:AlertEventDetailsType,em:AlertEventDetailsTypeCode,em:AlertEventDetailsTypeCodeType,The code denoting the category of the subject event of the alert message.,FALSE,FALSE,TRUE,FALSE,,,,,Multiple instances MAY occur within a single <info> block.,,,
